date,well_id,qgi_Mscfd,qo_STBd,qw_STBd,Pres_psi,Pwh_psi,Pbh_psi,GOR_scfSTB,water_cut_frac,API_gravity,perm_mD,visc_cp,depth_ft,mix_dens_lbft3,glift_eff,qg_total_Mscfd
2020-01-01,ND-001,122.59,271.6,208.9,2827.6,148.6,2657.9,638.2,0.421,28.77,288.7,1.743,9205.9,57.42,2.215,295.899
2020-01-02,ND-001,120.98,297.8,208.4,2813.8,143.7,2644.9,617.3,0.4128,28.37,292.4,1.86,9210.5,57.27,2.461,304.797
2020-01-03,ND-001,120.82,275.6,213.3,2845.8,136.1,2675.0,609.2,0.4401,28.83,268.7,1.857,9206.4,57.48,2.281,288.722
2020-01-04,ND-001,122.21,279.1,222.1,2817.2,146.2,2648.2,630.0,0.4493,28.39,286.4,1.971,9207.7,57.52,2.284,298.026
2020-01-05,ND-001,121.43,274.6,219.6,2855.8,148.8,2684.4,610.1,0.4315,28.49,283.0,1.91,9218.5,57.55,2.261,288.937
2020-01-06,ND-001,118.84,273.8,228.4,2875.6,147.7,2703.1,650.7,0.4476,28.2,287.1,1.933,9208.2,57.6,2.304,297.02
2020-01-07,ND-001,119.79,288.3,204.5,2846.8,138.5,2676.0,613.4,0.428,28.27,275.9,1.743,9200.4,57.29,2.406,296.615
2020-01-08,ND-001,120.07,259.5,211.3,2830.3,150.4,2660.5,636.9,0.4457,28.53,291.9,1.779,9211.4,57.54,2.161,285.358
2020-01-09,ND-001,119.25,286.4,190.4,2845.5,132.1,2674.8,595.1,0.406,28.58,286.9,1.868,9190.3,57.17,2.402,289.694
2020-01-10,ND-001,119.81,272.0,213.0,2879.9,134.9,2707.1,628.2,0.4399,28.47,288.5,1.903,9209.4,57.48,2.27,290.673
2020-01-11,ND-001,122.31,263.9,203.3,2848.9,140.9,2678.0,610.8,0.4329,28.31,291.7,1.856,9224.5,57.45,2.158,283.495
2020-01-12,ND-001,118.94,256.6,221.2,2847.9,149.4,2677.0,613.7,0.451,28.66,288.0,1.858,9207.4,57.7,2.158,276.425
2020-01-13,ND-001,117.6,258.6,206.3,2852.1,139.2,2681.0,622.9,0.4461,28.41,282.9,1.934,9211.7,57.52,2.199,278.663
2020-01-14,ND-001,120.54,274.6,221.5,2835.8,156.0,2665.7,647.9,0.449,28.28,276.2,1.801,9188.0,57.52,2.278,298.479
2020-01-15,ND-001,118.33,263.4,226.4,2823.9,153.3,2654.5,644.8,0.4619,28.65,279.9,1.774,9187.2,57.67,2.226,288.167
2020-01-16,ND-001,117.49,261.4,219.5,2857.6,138.0,2686.2,639.4,0.4648,28.2,280.7,1.739,9243.0,57.62,2.225,284.615
2020-01-17,ND-001,116.81,248.7,190.1,2826.6,149.9,2657.0,636.0,0.4423,28.54,283.7,1.853,9228.7,57.39,2.129,274.972
2020-01-18,ND-001,117.04,258.9,220.5,2865.9,146.9,2694.0,633.5,0.4584,28.36,282.3,1.843,9217.3,57.66,2.212,281.032
2020-01-19,ND-001,119.16,269.1,218.8,2804.5,147.8,2636.2,644.7,0.4464,28.69,290.9,1.854,9209.2,57.54,2.259,292.691
